module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
Workflow,sprint-planning,Sprint Planning,SP,Select the next useful horizon and plan a short ordered sequence of atomic commit-sized slices; later work stays rough.,,,plan,,,true,runs/<run-slug>/03-slices/sprint-status.yaml,sprint goal + ordered slice plans
Workflow,implement,Implement,IM,Implement exactly one active commit-sized slice; planning stays in 03-slices and only evidence from effectful work enters 04-implementation.,,,ship,sprint-planning,code-review,true,runs/<run-slug>/04-implementation/,implemented slice evidence
Workflow,code-review,Code Review,CR,Ad hoc review of any code change. Optional extra layer after Implement's built-in review.,,,ship,implement,,false,runs/<run-slug>/06-review/code-review-<target-slug>-<date>.md,code-review report
Workflow,checkpoint-preview,Checkpoint,CK,Guided walkthrough of a change from purpose and context into details. Use for human review of commits branches or PRs.,,,ship,,,false,,
Workflow,retrospective,Retrospective,ER,Optional at epic end: Review completed work lessons learned and next epic or if major issues consider CC.,,,ship,code-review,,false,runs/<run-slug>/08-retrospective/,retrospective
Core,_meta,,,,,,,,,false,https://docs.bmad-method.org/llms.txt,
Core,brainstorming,Brainstorming,BSP,Use early in ideation or when stuck generating ideas.,,,anytime,,,false,runs/<run-slug>/00-discovery/<topic-slug>/,brainstorming session
Core,help,workflow Help,BH,,,,anytime,,,false,,
Core,advanced-elicitation,Advanced Elicitation,AE,"Use at any checkpoint to push a just-produced draft, section, or plan past its first version — pick from a menu of elicitation methods (pre-mortem, first principles, red team, socratic) and apply the improvements.",,,anytime,,,false,,
Core,review,Review,RV,"Use to review anything before it ships — a diff, branch, or uncommitted changes; a PRD, spec, story, or architecture doc; any prose document. Runs whichever installed lenses fit the content and reports findings in one shape: shipped lenses cover adversarial critique, edge cases, verification gaps, document structure (cuts, merges, moves), and prose copy-edit, and installs may add more. Reach for it to tighten a bloated or LLM-slop draft, pressure-test a plan before building, or check a change is adequately tested. Run every applicable lens or name the ones you want. Code Review in other modules calls it automatically.",,[path],anytime,,,false,runs/<run-slug>/06-review/review-<target-slug>-<date>.md,findings JSON array + markdown report
Core,deep-recon,Deep Recon,RS,Decision-grade research three ways: draft a deep-research prompt for your own AI tool then process the returned report into a downstream-ready cited summary — or run the research directly via web fan-out. Types: market domain technical competitive user-voice academic-lit plus a select shape for choose-between decisions; claim verification and refresh lifecycle. Custom types via overrides.,,[type],anytime,,,false,runs/<run-slug>/01-research/,research report/summary + optional html briefing
Custom,gh,GitHub CLI,GH,"Structured GitHub CLI usage with JSON output, explicit pagination, and explicit repository targeting.",,,anytime,,,false,,
Custom,naming-conventions,Naming Conventions,NC,"Choose, review, and safely rename software concepts while respecting repository, language, framework, and external-contract terminology.",,,anytime,,,false,,
Custom,code-documentation,Code Documentation,CD,"Review and improve code documentation while preserving public contracts, local conventions, and maintainable source comments.",,,anytime,,,false,,
Custom,commit-conventions,Commit Conventions,CC,"Apply repository rules for branches, commits, staging, pull requests, and Conventional Commits before Git mutations.",,,anytime,,,false,,
Custom,context7-mcp,Context7 Documentation,C7,"Fetch current library, framework, and API documentation through Context7 when named packages affect the task.",,,anytime,,,false,,
Custom,opensrc,Dependency Source,OS,"Fetch dependency source code when types and documentation do not explain implementation behavior.",,,anytime,,,false,,
Custom,recall,Recall,RC,"Reconstruct recent working context from conversation history, live state, and shared records.",,,anytime,,,false,,
Custom,how,How,HW,"Explain runtime behavior, subsystem architecture, ownership, layering, and code placement.",,,anytime,,,false,,
Custom,why,Why,WY,"Investigate design rationale, decisions, regressions, postmortems, and evidence-backed tradeoffs.",,,anytime,,,false,,
Custom,grilling,Grilling,GR,"Challenge a plan, decision, or idea when the user explicitly asks to be grilled.",,,anytime,,,false,,
Custom,playwright-mcp,Playwright MCP,PM,"Use Playwright MCP and its Planner, Generator, and Healer agents to explore applications, create test plans, generate Playwright tests, and repair failing tests.",,,anytime,,,false,,
Creative Intelligence Suite,_meta,,,,,,,,,false,https://cis-docs.bmad-method.org/llms.txt,
Creative Intelligence Suite,cis-innovation-strategy,Innovation Strategy,IS,Identify disruption opportunities and architect business model innovation.,,,anytime,,,false,runs/<run-slug>/00-discovery/<topic-slug>/,innovation strategy
Creative Intelligence Suite,cis-problem-solving,Problem Solving,PS,Apply systematic problem-solving methodologies to crack complex challenges.,,,anytime,,,false,runs/<run-slug>/00-discovery/<topic-slug>/,problem solution
Creative Intelligence Suite,cis-design-thinking,Design Thinking,DT,Guide human-centered design processes using empathy-driven methodologies.,,,anytime,,,false,runs/<run-slug>/00-discovery/<topic-slug>/,design thinking
Creative Intelligence Suite,brainstorming,Brainstorming,BS,Facilitate brainstorming sessions using one or more techniques.,,,anytime,,,false,runs/<run-slug>/00-discovery/<topic-slug>/,brainstorming session results
Test Architecture Enterprise,_meta,,,,,,,,,false,https://bmad-code-org.github.io/bmad-method-test-architecture-enterprise/llms.txt,
Test Architecture Enterprise,testarch-test-design,Test Design,TD,Risk-based test planning.,,,3-solutioning,,testarch-framework,false,runs/<run-slug>/05-testing/test-design-<target-slug>*,test design document
Test Architecture Enterprise,testarch-framework,Test Framework,TF,Initialize production-ready test framework.,,,3-solutioning,testarch-test-design,testarch-ci,false,runs/<run-slug>/05-testing/framework-<target-slug>*,framework scaffold
Test Architecture Enterprise,testarch-ci,CI Setup,CI,Configure CI/CD quality pipeline.,,,3-solutioning,testarch-framework,,false,runs/<run-slug>/05-testing/ci-<target-slug>*,ci config
Test Architecture Enterprise,testarch-atdd,ATDD,AT,Generate red-phase acceptance test scaffolds before implementation.,,,4-implementation,,,false,runs/<run-slug>/05-testing/atdd-checklist-<target-slug>.md,atdd-checklist|red-phase acceptance tests
Test Architecture Enterprise,testarch-automate,Test Automation,TA,Expand test coverage.,,,4-implementation,testarch-atdd,,false,runs/<run-slug>/05-testing/automation-<target-slug>-summary.md,test suite
Test Architecture Enterprise,testarch-test-review,Test Review,RV,Quality audit (0-100 scoring).,,,4-implementation,testarch-automate,,false,runs/<run-slug>/05-testing/test-review-<target-slug>.md,review report
Test Architecture Enterprise,testarch-nfr,NFR Evidence Audit,NR,Audit non-functional requirement evidence.,,,4-implementation,testarch-automate,,false,runs/<run-slug>/05-testing/nfr-<target-slug>-assessment.md,nfr report
Test Architecture Enterprise,testarch-trace,Traceability,TR,Coverage traceability and gate.,,,4-implementation,testarch-test-review,,false,runs/<run-slug>/05-testing/traceability-<target-slug>*,traceability matrix|gate decision
